portion_id	portion_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	state	portion_number	weight	is_ffpe
819d30a9-b453-4336-8373-0d0b6e0a7cb9	TCGA-E9-A3X8-01A-31	95873e61-afdb-496c-9f77-3f9beb008cda	TCGA-E9-A3X8	TCGA-BRCA	c9e12d18-6092-499f-92ae-6fd6b16f2acd	TCGA-E9-A3X8-01A	live	31	30.0	False
2dd82587-8163-4b1a-b71b-4da10e8cba40	TCGA-E9-A3X8-10B-01	95873e61-afdb-496c-9f77-3f9beb008cda	TCGA-E9-A3X8	TCGA-BRCA	42a4fa75-8c36-4f5e-85c7-880d99a9c5a5	TCGA-E9-A3X8-10B	live	01	2.0	False
d09d4fc6-a781-4968-8d3c-d01ae4d5f17e	TCGA-OL-A66N-01A-12	e9002f4e-ba0b-4738-9368-dd9614a5da8a	TCGA-OL-A66N	TCGA-BRCA	34e08e44-8c58-48bd-b682-1ede7baead3c	TCGA-OL-A66N-01A	live	12	30.0	False
3acac7e1-22c1-4a61-847d-bda89e3a10c1	TCGA-OL-A66N-01A-21-A321-20	e9002f4e-ba0b-4738-9368-dd9614a5da8a	TCGA-OL-A66N	TCGA-BRCA	34e08e44-8c58-48bd-b682-1ede7baead3c	TCGA-OL-A66N-01A	live	21	--	False
bb004ce2-6022-4c0b-9f03-906b3714c7e9	TCGA-OL-A66N-10A-01	e9002f4e-ba0b-4738-9368-dd9614a5da8a	TCGA-OL-A66N	TCGA-BRCA	e8aa1582-dcb8-4dc2-a389-4a639d1e2e5d	TCGA-OL-A66N-10A	live	01	--	False
f1bdea64-1ae0-442f-83cd-00ae1531f9fb	TCGA-C8-A1HE-01A-21-A17J-20	b26d41cd-393b-4cd4-8925-a9488f7de576	TCGA-C8-A1HE	TCGA-BRCA	f2eac3ac-cb30-4d6d-a85a-4ea1ad3e7301	TCGA-C8-A1HE-01A	live	21	--	False
49aabc21-0bc7-4e3a-afb2-b3636f345dfe	TCGA-C8-A1HE-01A-11	b26d41cd-393b-4cd4-8925-a9488f7de576	TCGA-C8-A1HE	TCGA-BRCA	f2eac3ac-cb30-4d6d-a85a-4ea1ad3e7301	TCGA-C8-A1HE-01A	live	11	30.0	False
88759fae-7894-4302-8bc0-dcaddcde9264	TCGA-C8-A1HE-10A-01	b26d41cd-393b-4cd4-8925-a9488f7de576	TCGA-C8-A1HE	TCGA-BRCA	dfbf6e53-9de9-4f37-8e6a-1008eb1d8441	TCGA-C8-A1HE-10A	live	01	2.0	False
59c3ce2b-d84e-4d4a-b6dc-ffdb9e3a34f5	TCGA-BH-A1EV-01A-21-A17I-20	417dea5f-f68e-4dab-940e-43ae8c67e5e6	TCGA-BH-A1EV	TCGA-BRCA	29ac24fb-0065-47f8-b044-f4a66fad2394	TCGA-BH-A1EV-01A	live	21	--	False
76c568f8-85b2-4a72-962a-803f77c16ec0	TCGA-BH-A1EV-01A-11	417dea5f-f68e-4dab-940e-43ae8c67e5e6	TCGA-BH-A1EV	TCGA-BRCA	29ac24fb-0065-47f8-b044-f4a66fad2394	TCGA-BH-A1EV-01A	live	11	30.0	False
